CYCLE	CMDPOS0	CMDPOS1	CMDPOS2
1290	0	0	0
1291	0	0	0
1292	0	0	0
1293	0	0	0
1294	0	0	0
1295	0	0	0
1296	0	0	0
1297	0	0	0
1298	0	0	0
1299	0	0	0
1300	0	0	0
1301	0	0	0
1302	0	0	0
1303	0	0	0
1304	0	0	0
1305	0	0	0
1306	0	0	0
1307	0	0	0
1308	0	0	0
1309	0	0	0
1310	0	0	0
1311	0	0	0
1312	0	0	0
1313	0	0	0
1314	0	0	0
1315	0	0	0
1316	0	0	0
1317	0	0	0
1318	0	0	0
1319	0	0	0
1320	0	0	0
1321	0	0	0
1322	0	0	0
1323	0	0	0
1324	0	0	0
1325	1	0	0
1326	1	0	0
1327	1	0	0
1328	1	0	0
1329	1	0	0
1330	1	0	0
1331	1	0	0
1332	1	0	0
1333	1	0	0
1334	1	0	0
1335	1	0	0
1336	1	0	0
1337	1	0	0
1338	1	0	0
1339	1	0	0
1340	1	0	0
1341	2	0	0
1342	2	0	0
1343	2	0	0
1344	2	0	0
1345	2	0	0
1346	2	0	0
1347	2	0	0
1348	2	0	0
1349	2	0	0
1350	2	0	0
1351	2	0	0
1352	2	0	0
1353	3	0	0
1354	3	0	0
1355	3	0	0
1356	3	0	0
1357	3	0	0
1358	3	0	0
1359	3	0	0
1360	3	0	0
1361	3	0	0
1362	4	0	0
1363	4	0	0
1364	4	0	0
1365	4	0	0
1366	4	0	0
1367	4	0	0
1368	4	0	0
1369	4	0	0
1370	5	0	0
1371	5	0	0
1372	5	0	0
1373	5	0	0
1374	5	0	0
1375	5	0	0
1376	5	0	0
1377	6	0	0
1378	6	0	0
1379	6	0	0
1380	6	0	0
1381	6	0	0
1382	6	0	0
1383	7	0	0
1384	7	0	0
1385	7	0	0
1386	7	0	0
1387	7	0	0
1388	7	0	0
1389	8	0	0
1390	8	0	0
1391	8	0	0
1392	8	0	0
1393	8	0	0
1394	8	0	0
1395	9	0	0
1396	9	0	0
1397	9	0	0
1398	9	0	0
1399	9	0	0
1400	10	0	0
1401	10	0	0
1402	10	0	0
1403	10	0	0
1404	10	0	0
1405	11	0	0
1406	11	0	0
1407	11	0	0
1408	11	0	0
1409	11	0	0
1410	12	0	0
1411	12	0	0
1412	12	0	0
1413	12	0	0
1414	13	0	0
1415	13	0	0
1416	13	0	0
1417	13	0	0
1418	13	0	0
1419	14	0	0
1420	14	0	0
1421	14	0	0
1422	14	0	0
1423	15	0	0
1424	15	0	0
1425	15	0	0
1426	15	0	0
1427	16	0	0
1428	16	0	0
1429	16	0	0
1430	16	0	0
1431	17	0	0
1432	17	0	0
1433	17	0	0
1434	17	0	0
1435	18	0	0
1436	18	0	0
1437	18	0	0
1438	18	0	0
1439	19	0	0
1440	19	0	0
1441	19	0	0
1442	20	0	0
1443	20	0	0
1444	20	0	0
1445	20	0	0
1446	21	0	0
1447	21	0	0
1448	21	0	0
1449	22	0	0
1450	22	0	0
1451	22	0	0
1452	22	0	0
1453	23	0	0
1454	23	0	0
1455	23	0	0
1456	24	0	0
1457	24	0	0
1458	24	0	0
1459	25	0	0
1460	25	0	0
1461	25	0	0
1462	26	0	0
1463	26	0	0
1464	26	0	0
1465	26	0	0
1466	27	0	0
1467	27	0	0
1468	27	0	0
1469	28	0	0
1470	28	0	0
1471	28	0	0
1472	29	0	0
1473	29	0	0
1474	29	0	0
1475	30	0	0
1476	30	0	0
1477	31	0	0
1478	31	0	0
1479	31	0	0
1480	32	0	0
1481	32	0	0
1482	32	0	0
1483	33	0	0
1484	33	0	0
1485	33	0	0
1486	34	0	0
1487	34	0	0
1488	34	0	0
1489	35	0	0
1490	35	0	0
1491	36	0	0
1492	36	0	0
1493	36	0	0
1494	37	0	0
1495	37	0	0
1496	38	0	0
1497	38	0	0
1498	38	0	0
1499	39	0	0
1500	39	0	0
1501	39	0	0
1502	40	0	0
1503	40	0	0
1504	41	0	0
1505	41	0	0
1506	41	0	0
1507	42	0	0
1508	42	0	0
1509	43	0	0
1510	43	0	0
1511	44	0	0
1512	44	0	0
1513	44	0	0
1514	45	0	0
1515	45	0	0
1516	46	0	0
1517	46	0	0
1518	46	0	0
1519	47	0	0
1520	47	0	0
1521	48	0	0
1522	48	0	0
1523	49	0	0
1524	49	0	0
1525	50	0	0
1526	50	0	0
1527	50	0	0
1528	51	0	0
1529	51	0	0
1530	52	0	0
1531	52	0	0
1532	53	0	0
1533	53	0	0
1534	54	0	0
1535	54	0	0
1536	54	0	0
1537	55	0	0
1538	55	0	0
1539	56	0	0
1540	56	0	0
1541	56	0	0
1542	57	0	0
1543	57	0	0
1544	58	0	0
1545	58	0	0
1546	59	0	0
1547	59	0	0
1548	59	0	0
1549	60	0	0
1550	60	0	0
1551	61	0	0
1552	61	0	0
1553	61	0	0
1554	62	0	0
1555	62	0	0
1556	62	0	0
1557	63	0	0
1558	63	0	0
1559	64	0	0
1560	64	0	0
1561	64	0	0
1562	65	0	0
1563	65	0	0
1564	66	0	0
1565	66	0	0
1566	66	0	0
1567	67	0	0
1568	67	0	0
1569	67	0	0
1570	68	0	0
1571	68	0	0
1572	68	0	0
1573	69	0	0
1574	69	0	0
1575	69	0	0
1576	70	0	0
1577	70	0	0
1578	71	0	0
1579	71	0	0
1580	71	0	0
1581	72	0	0
1582	72	0	0
1583	72	0	0
1584	73	0	0
1585	73	0	0
1586	73	0	0
1587	74	0	0
1588	74	0	0
1589	74	0	0
1590	74	0	0
1591	75	0	0
1592	75	0	0
1593	75	0	0
1594	76	0	0
1595	76	0	0
1596	76	0	0
1597	77	0	0
1598	77	0	0
1599	77	0	0
1600	78	0	0
1601	78	0	0
1602	78	0	0
1603	78	0	0
1604	79	0	0
1605	79	0	0
1606	79	0	0
1607	80	0	0
1608	80	0	0
1609	80	0	0
1610	80	0	0
1611	81	0	0
1612	81	0	0
1613	81	0	0
1614	82	0	0
1615	82	0	0
1616	82	0	0
1617	82	0	0
1618	83	0	0
1619	83	0	0
1620	83	0	0
1621	83	0	0
1622	84	0	0
1623	84	0	0
1624	84	0	0
1625	84	0	0
1626	85	0	0
1627	85	0	0
1628	85	0	0
1629	85	0	0
1630	86	0	0
1631	86	0	0
1632	86	0	0
1633	86	0	0
1634	87	0	0
1635	87	0	0
1636	87	0	0
1637	87	0	0
1638	88	0	0
1639	88	0	0
1640	88	0	0
1641	88	0	0
1642	88	0	0
1643	89	0	0
1644	89	0	0
1645	89	0	0
1646	89	0	0
1647	89	0	0
1648	90	0	0
1649	90	0	0
1650	90	0	0
1651	90	0	0
1652	90	0	0
1653	91	0	0
1654	91	0	0
1655	91	0	0
1656	91	0	0
1657	91	0	0
1658	92	0	0
1659	92	0	0
1660	92	0	0
1661	92	0	0
1662	92	0	0
1663	92	0	0
1664	93	0	0
1665	93	0	0
1666	93	0	0
1667	93	0	0
1668	93	0	0
1669	93	0	0
1670	94	0	0
1671	94	0	0
1672	94	0	0
1673	94	0	0
1674	94	0	0
1675	94	0	0
1676	95	0	0
1677	95	0	0
1678	95	0	0
1679	95	0	0
1680	95	0	0
1681	95	0	0
1682	95	0	0
1683	96	0	0
1684	96	0	0
1685	96	0	0
1686	96	0	0
1687	96	0	0
1688	96	0	0
1689	96	0	0
1690	96	0	0
1691	97	0	0
1692	97	0	0
1693	97	0	0
1694	97	0	0
1695	97	0	0
1696	97	0	0
1697	97	0	0
1698	97	0	0
1699	97	0	0
1700	98	0	0
1701	98	0	0
1702	98	0	0
1703	98	0	0
1704	98	0	0
1705	98	0	0
1706	98	0	0
1707	98	0	0
1708	98	0	0
1709	98	0	0
1710	98	0	0
1711	98	0	0
1712	99	0	0
1713	99	0	0
1714	99	0	0
1715	99	0	0
1716	99	0	0
1717	99	0	0
1718	99	0	0
1719	99	0	0
1720	99	0	0
1721	99	0	0
1722	99	0	0
1723	99	0	0
1724	99	0	0
1725	99	0	0
1726	99	0	0
1727	99	0	0
1728	100	0	0
1729	100	0	0
1730	100	0	0
1731	100	0	0
1732	100	0	0
1733	100	0	0
1734	100	0	0
1735	100	0	0
1736	100	0	0
1737	100	0	0
1738	100	0	0
1739	100	0	0
1740	100	0	0
1741	100	0	0
1742	100	0	0
1743	100	0	0
1744	100	0	0
1745	100	0	0
1746	100	0	0
1747	100	0	0
1748	100	0	0
1749	100	0	0
1750	100	0	0
1751	100	0	0
1752	100	-0	0
1753	100	-0	0
1754	100	-0	0
1755	100	-0	0
1756	100	-0	0
1757	100	-0	0
1758	100	-0	0
1759	100	-0	0
1760	100	-0	0
1761	100	-0	0
1762	100	-0	0
1763	100	-0	0
1764	100	-0	0
1765	100	-0	0
1766	100	-0	0
1767	100	-0	0
1768	100	-0	0
1769	100	-0	0
1770	100	-0	0
1771	100	-0	0
1772	100	-0	0
1773	100	-0	0
1774	100	-0	0
1775	100	-0	1
1776	100	-0	1
1777	100	-0	1
1778	100	-0	1
1779	100	-0	1
1780	100	-0	1
1781	100	-0	1
1782	100	-0	1
1783	100	-0	1
1784	100	-0	1
1785	100	-0	1
1786	100	-0	1
1787	100	-0	1
1788	100	-0	1
1789	100	-0	1
1790	100	-0	1
1791	100	-0	1
1792	100	-0	2
1793	100	-0	2
1794	100	-0	2
1795	100	-0	2
1796	100	-0	2
1797	100	-0	2
1798	100	-0	2
1799	100	-0	2
1800	100	-0	2
1801	100	-0	2
1802	100	-0	2
1803	100	-0	2
1804	100	-0	3
1805	100	-0	3
1806	100	-0	3
1807	100	-0	3
1808	100	-0	3
1809	100	-0	3
1810	100	-0	3
1811	100	-0	3
1812	100	-0	3
1813	100	-0	3
1814	100	-0	4
1815	100	-0	4
1816	100	-0	4
1817	100	-0	4
1818	100	-0	4
1819	100	-0	4
1820	100	-0	4
1821	100	-0	4
1822	100	-0	5
1823	100	-0	5
1824	100	-0	5
1825	100	-0	5
1826	100	-0	5
1827	100	-0	5
1828	100	-0	5
1829	100	-0	5
1830	100	-0	6
1831	99	-1	6
1832	99	-1	6
1833	99	-1	6
1834	99	-1	6
1835	99	-1	6
1836	99	-1	7
1837	99	-1	7
1838	99	-1	7
1839	99	-1	7
1840	99	-1	7
1841	99	-1	7
1842	99	-1	7
1843	99	-1	8
1844	99	-1	8
1845	99	-1	8
1846	99	-1	8
1847	99	-1	8
1848	99	-1	8
1849	99	-1	9
1850	99	-1	9
1851	99	-1	9
1852	99	-1	9
1853	99	-1	9
1854	99	-1	10
1855	99	-1	10
1856	99	-1	10
1857	99	-1	10
1858	99	-1	10
1859	99	-1	10
1860	99	-1	11
1861	99	-1	11
1862	99	-1	11
