CYCLE	CMDPOS0	CMDPOS1	CMDPOS2	CMDPOS3
1692	0	0	0	0
1693	0	0	0	0
1694	0	0	0	0
1695	0	0	0	0
1696	0	0	0	0
1697	0	0	0	0
1698	0	0	0	0
1699	0	0	0	0
1700	0	0	0	0
1701	0	0	0	0
1702	0	0	0	0
1703	0	0	0	0
1704	0	0	0	0
1705	0	0	0	0
1706	0	0	0	0
1707	0	0	0	0
1708	0	0	0	0
1709	0	0	0	0
1710	0	0	0	0
1711	0	0	0	0
1712	0	0	0	0
1713	0	0	0	0
1714	0	0	0	0
1715	0	0	0	0
1716	0	0	0	0
1717	0	0	0	0
1718	0	0	0	0
1719	0	0	0	0
1720	0	0	0	0
1721	0	0	0	0
1722	0	0	0	0
1723	0	0	0	0
1724	1	0	0	0
1725	1	0	0	0
1726	1	0	0	0
1727	1	0	0	0
1728	1	0	0	0
1729	1	0	0	0
1730	1	0	0	0
1731	1	0	0	0
1732	1	0	0	0
1733	1	0	0	0
1734	1	0	0	0
1735	1	0	0	0
1736	1	0	0	0
1737	1	0	0	0
1738	1	0	0	0
1739	1	0	0	0
1740	2	0	0	0
1741	2	0	0	0
1742	2	0	0	0
1743	2	0	0	0
1744	2	0	0	0
1745	2	0	0	0
1746	2	0	0	1
1747	2	0	0	1
1748	2	0	0	1
1749	2	0	0	1
1750	2	0	0	1
1751	2	0	0	1
1752	3	0	0	1
1753	3	0	0	1
1754	3	0	0	1
1755	3	0	0	1
1756	3	0	0	1
1757	3	0	0	1
1758	3	0	0	1
1759	3	0	0	1
1760	3	0	0	1
1761	4	0	0	1
1762	4	0	0	1
1763	4	0	0	1
1764	4	0	0	1
1765	4	0	0	1
1766	4	0	0	1
1767	4	0	0	1
1768	4	0	0	1
1769	5	0	0	1
1770	5	0	0	1
1771	5	0	0	1
1772	5	0	0	1
1773	5	0	0	1
1774	5	0	0	1
1775	5	0	0	1
1776	6	0	0	1
1777	6	0	0	1
1778	6	0	0	1
1779	6	0	0	2
1780	6	0	0	2
1781	6	0	0	2
1782	7	0	0	2
1783	7	0	0	2
1784	7	0	0	2
1785	7	0	0	2
1786	7	0	0	2
1787	7	0	0	2
1788	8	0	0	2
1789	8	0	0	2
1790	8	0	0	2
1791	8	0	0	2
1792	8	0	0	2
1793	8	0	0	2
1794	9	0	0	2
1795	9	0	0	2
1796	9	0	0	2
1797	9	0	0	2
1798	9	0	0	2
1799	10	0	0	2
1800	10	0	0	2
1801	10	0	0	2
1802	10	0	0	3
1803	10	0	0	3
1804	11	0	0	3
1805	11	0	0	3
1806	11	0	0	3
1807	11	0	0	3
1808	11	0	0	3
1809	12	0	0	3
1810	12	0	0	3
1811	12	0	0	3
1812	12	0	0	3
1813	12	0	0	3
1814	13	0	0	3
1815	13	0	0	3
1816	13	0	0	3
1817	13	0	0	3
1818	14	0	0	3
1819	14	0	0	3
1820	14	0	0	4
1821	14	0	0	4
1822	15	0	0	4
1823	15	0	0	4
1824	15	0	0	4
1825	15	0	0	4
1826	16	0	0	4
1827	16	0	0	4
1828	16	0	0	4
1829	16	0	0	4
1830	17	0	0	4
1831	17	0	0	4
1832	17	0	0	4
1833	17	0	0	4
1834	18	0	0	4
1835	18	0	0	4
1836	18	0	0	5
1837	18	0	0	5
1838	19	0	0	5
1839	19	0	0	5
1840	19	0	0	5
1841	19	0	0	5
1842	20	0	0	5
1843	20	0	0	5
1844	20	0	0	5
1845	21	0	0	5
1846	21	0	0	5
1847	21	0	0	5
1848	21	0	0	5
1849	22	0	0	5
1850	22	0	0	6
1851	22	0	0	6
1852	23	0	0	6
1853	23	0	0	6
1854	23	0	0	6
1855	24	0	0	6
1856	24	0	0	6
1857	24	0	0	6
1858	25	0	0	6
1859	25	0	0	6
1860	25	0	0	6
1861	25	0	0	6
1862	26	0	0	6
1863	26	0	0	7
1864	26	0	0	7
1865	27	0	0	7
1866	27	0	0	7
1867	27	0	0	7
1868	28	0	0	7
1869	28	0	0	7
1870	28	0	0	7
1871	29	0	0	7
1872	29	0	0	7
1873	29	0	0	7
1874	30	0	0	7
1875	30	0	0	8
1876	30	0	0	8
1877	31	0	0	8
1878	31	0	0	8
1879	32	0	0	8
1880	32	0	0	8
1881	32	0	0	8
1882	33	0	0	8
1883	33	0	0	8
1884	33	0	0	8
1885	34	0	0	8
1886	34	0	0	9
1887	34	0	0	9
1888	35	0	0	9
1889	35	0	0	9
1890	36	0	0	9
1891	36	0	0	9
1892	36	0	0	9
1893	37	0	0	9
1894	37	0	0	9
1895	37	0	0	9
1896	38	0	0	9
1897	38	0	0	10
1898	39	0	0	10
1899	39	0	0	10
1900	39	0	0	10
1901	40	0	0	10
1902	40	0	0	10
1903	41	0	0	10
1904	41	0	0	10
1905	41	0	0	10
1906	42	0	0	10
1907	42	0	0	11
1908	43	0	0	11
1909	43	0	0	11
1910	43	0	0	11
1911	44	0	0	11
1912	44	0	0	11
1913	45	0	0	11
1914	45	0	0	11
1915	46	0	0	11
1916	46	0	0	11
1917	46	0	0	12
1918	47	0	0	12
1919	47	0	0	12
1920	48	0	0	12
1921	48	0	0	12
1922	49	0	0	12
1923	49	0	0	12
1924	49	0	0	12
1925	50	0	0	12
1926	50	0	0	13
1927	51	0	0	13
1928	51	0	0	13
1929	52	0	0	13
1930	52	0	0	13
1931	53	0	0	13
1932	53	0	0	13
1933	54	0	0	13
1934	54	0	0	13
1935	54	0	0	14
1936	55	0	0	14
1937	55	0	0	14
1938	56	0	0	14
1939	56	0	0	14
1940	57	0	0	14
1941	57	0	0	14
1942	58	0	0	14
1943	58	0	0	15
1944	59	0	0	15
1945	59	0	0	15
1946	60	0	0	15
1947	60	0	0	15
1948	61	0	0	15
1949	61	0	0	15
1950	62	0	0	15
1951	62	0	0	16
1952	63	0	0	16
1953	63	0	0	16
1954	64	0	0	16
1955	64	0	0	16
1956	65	0	0	16
1957	65	0	0	16
1958	66	0	0	16
1959	66	0	0	17
1960	67	0	0	17
1961	67	0	0	17
1962	68	0	0	17
1963	68	0	0	17
1964	69	0	0	17
1965	69	0	0	17
1966	70	0	0	17
1967	70	0	0	18
1968	71	0	0	18
1969	71	0	0	18
1970	72	0	0	18
1971	72	0	0	18
1972	73	0	0	18
1973	74	0	0	18
1974	74	0	0	19
1975	75	0	0	19
1976	75	0	0	19
1977	76	0	0	19
1978	76	0	0	19
1979	77	0	0	19
1980	77	0	0	19
1981	78	0	0	19
1982	79	0	0	20
1983	79	0	0	20
1984	80	0	0	20
1985	80	0	0	20
1986	81	0	0	20
1987	81	0	0	20
1988	82	0	0	20
1989	82	0	0	21
1990	83	0	0	21
1991	84	0	0	21
1992	84	0	0	21
1993	85	0	0	21
1994	85	0	0	21
1995	86	0	0	21
1996	87	0	0	22
1997	87	0	0	22
1998	88	0	0	22
1999	88	0	0	22
2000	89	0	0	22
2001	89	0	0	22
2002	90	0	0	23
2003	91	0	0	23
2004	91	0	0	23
2005	92	0	0	23
2006	92	0	0	23
2007	93	0	0	23
2008	94	0	0	23
2009	94	0	0	24
2010	95	0	0	24
2011	96	0	0	24
2012	96	0	0	24
2013	97	0	0	24
2014	97	0	0	24
2015	98	0	0	25
2016	99	0	0	25
2017	99	0	0	25
2018	100	0	0	25
2019	100	-0	6	25
2020	99	-1	14	25
2021	99	-1	21	26
2022	99	-1	28	26
2023	98	-1	35	26
2024	98	-2	43	26
2025	98	-2	50	26
2026	97	-2	58	27
2027	97	-3	65	27
2028	97	-3	72	27
2029	96	-3	80	27
2030	96	-4	87	27
2031	96	-4	95	28
2032	95	-4	102	28
2033	95	-4	110	28
2034	94	-5	118	28
2035	94	-5	125	28
2036	94	-5	133	29
2037	93	-5	140	29
2038	93	-6	148	29
2039	92	-6	156	29
2040	92	-6	164	30
2041	92	-6	171	30
2042	91	-6	179	30
2043	91	-7	187	30
2044	90	-7	194	30
2045	90	-7	202	31
2046	89	-7	209	31
2047	89	-7	217	31
2048	89	-8	225	31
2049	88	-8	232	31
2050	88	-8	240	32
2051	87	-8	247	32
2052	87	-8	255	32
2053	86	-8	262	32
2054	86	-9	269	32
2055	86	-9	277	33
2056	85	-9	284	33
2057	85	-9	292	33
2058	84	-9	299	33
2059	84	-9	306	34
2060	83	-9	313	34
2061	83	-9	321	34
2062	82	-10	328	34
2063	82	-10	335	34
2064	82	-10	342	35
2065	81	-10	350	35
2066	81	-10	357	35
2067	80	-10	364	35
2068	80	-10	371	35
2069	79	-10	378	35
2070	79	-10	385	36
2071	79	-10	392	36
2072	78	-10	399	36
2073	78	-10	406	36
2074	77	-10	413	36
2075	77	-10	420	37
2076	76	-10	427	37
2077	76	-10	434	37
2078	76	-10	441	37
2079	75	-10	447	37
2080	75	-10	454	38
2081	74	-10	461	38
2082	74	-10	468	38
