CYCLE	CMDPOS0	CMDPOS1
1317	0	0
1318	0	0
1319	0	0
1320	0	0
1321	0	0
1322	0	0
1323	0	0
1324	0	0
1325	0	0
1326	0	0
1327	0	0
1328	0	0
1329	0	0
1330	0	0
1331	0	0
1332	0	0
1333	0	0
1334	0	0
1335	0	0
1336	0	0
1337	0	0
1338	0	0
1339	0	0
1340	0	0
1341	1	0
1342	1	0
1343	1	0
1344	1	0
1345	1	0
1346	1	0
1347	1	0
1348	2	1
1349	2	1
1350	2	1
1351	2	1
1352	2	1
1353	3	1
1354	3	1
1355	3	1
1356	3	1
1357	3	1
1358	4	1
1359	4	1
1360	4	1
1361	5	2
1362	5	2
1363	5	2
1364	5	2
1365	6	2
1366	6	2
1367	6	2
1368	7	2
1369	7	2
1370	8	3
1371	8	3
1372	8	3
1373	9	3
1374	9	3
1375	10	3
1376	10	3
1377	10	3
1378	11	4
1379	11	4
1380	12	4
1381	12	4
1382	13	4
1383	13	4
1384	14	5
1385	14	5
1386	15	5
1387	15	5
1388	16	5
1389	16	5
1390	17	6
1391	18	6
1392	18	6
1393	19	6
1394	19	6
1395	20	7
1396	21	7
1397	21	7
1398	22	7
1399	23	8
1400	23	8
1401	24	8
1402	25	8
1403	25	8
1404	26	9
1405	27	9
1406	27	9
1407	28	9
1408	29	10
1409	30	10
1410	30	10
1411	31	10
1412	32	11
1413	33	11
1414	33	11
1415	34	11
1416	35	12
1417	36	12
1418	37	12
1419	37	12
1420	38	13
1421	39	13
1422	40	13
1423	41	14
1424	42	14
1425	43	14
1426	44	15
1427	45	15
1428	45	15
1429	46	15
1430	47	16
1431	48	16
1432	49	16
1433	50	17
1434	51	17
1435	52	17
1436	53	18
1437	54	18
1438	55	18
1439	56	19
1440	57	19
1441	58	19
1442	59	20
1443	60	20
1444	61	20
1445	62	21
1446	62	21
1447	63	21
1448	64	21
1449	65	22
1450	66	22
1451	67	22
1452	68	23
1453	69	23
1454	70	23
1455	71	24
1456	72	24
1457	73	24
1458	74	25
1459	75	25
1460	76	25
1461	77	26
1462	78	26
1463	79	26
1464	79	26
1465	80	27
1466	81	27
1467	82	27
1468	83	28
1469	84	28
1470	85	28
1471	86	29
1472	87	29
1473	88	29
1474	89	30
1475	90	30
1476	91	30
1477	92	31
1478	93	31
1479	94	31
1480	95	32
1481	96	32
1482	97	32
1483	97	32
1484	98	33
1485	99	33
1486	100	33
1487	101	34
1488	102	34
1489	103	34
1490	104	35
1491	105	35
1492	106	35
1493	107	36
1494	108	36
1495	109	36
1496	110	37
1497	111	37
1498	112	37
1499	113	38
1500	114	38
1501	115	38
1502	115	38
1503	116	39
1504	117	39
1505	118	39
1506	119	40
1507	120	40
1508	121	40
1509	122	41
1510	123	41
1511	124	41
1512	125	42
1513	126	42
1514	127	42
1515	128	43
1516	129	43
1517	130	43
1518	131	44
1519	132	44
1520	132	44
1521	133	44
1522	134	45
1523	135	45
1524	136	45
1525	137	46
1526	138	46
1527	139	46
1528	140	47
1529	141	47
1530	142	47
1531	143	48
1532	144	48
1533	145	48
1534	146	49
1535	147	49
1536	148	49
1537	149	50
1538	150	50
1539	150	50
1540	151	50
1541	152	51
1542	153	51
1543	154	51
1544	155	52
1545	156	52
1546	157	52
1547	158	53
1548	159	53
1549	160	53
1550	161	54
1551	162	54
1552	163	54
1553	164	55
1554	165	55
1555	166	55
1556	167	56
1557	168	56
1558	168	56
1559	169	56
1560	170	57
1561	171	57
1562	172	57
1563	173	58
1564	174	58
1565	175	58
1566	176	59
1567	177	59
1568	178	59
1569	179	60
1570	180	60
1571	181	60
1572	182	61
1573	183	61
1574	184	61
1575	185	62
1576	185	62
1577	186	62
1578	187	62
1579	188	63
1580	189	63
1581	190	63
1582	191	64
1583	192	64
1584	193	64
1585	194	65
1586	195	65
1587	196	65
1588	197	66
1589	198	66
1590	199	66
1591	200	67
1592	201	67
1593	202	67
1594	203	68
1595	203	68
1596	204	68
1597	205	68
1598	206	69
1599	207	69
1600	208	69
1601	209	70
1602	210	70
1603	211	70
1604	212	71
1605	213	71
1606	214	71
1607	215	72
1608	216	72
1609	217	72
1610	218	73
1611	219	73
1612	220	73
1613	221	74
1614	221	74
1615	222	74
1616	223	74
1617	224	75
1618	225	75
1619	226	75
1620	227	76
1621	228	76
1622	229	76
1623	230	77
1624	231	77
1625	232	77
1626	233	78
1627	234	78
1628	235	78
1629	236	79
1630	237	79
1631	238	79
1632	238	79
1633	239	80
1634	240	80
1635	241	80
1636	242	81
1637	243	81
1638	244	81
1639	245	82
1640	246	82
1641	247	82
1642	248	83
1643	249	83
1644	250	83
1645	251	84
1646	252	84
1647	253	84
1648	254	85
1649	255	85
1650	255	85
1651	256	85
1652	257	86
1653	258	86
1654	259	86
1655	260	87
1656	261	87
1657	262	87
1658	263	88
1659	263	88
1660	264	88
1661	265	88
1662	266	89
1663	267	89
1664	267	89
1665	268	89
1666	269	90
1667	270	90
1668	270	90
1669	271	90
1670	272	91
1671	273	91
1672	273	91
1673	274	91
1674	275	92
1675	275	92
1676	276	92
1677	277	92
1678	277	92
1679	278	93
1680	279	93
1681	279	93
1682	280	93
1683	281	94
1684	281	94
1685	282	94
1686	282	94
1687	283	94
1688	284	95
1689	284	95
1690	285	95
1691	285	95
1692	286	95
1693	286	95
1694	287	96
1695	287	96
1696	288	96
1697	288	96
1698	289	96
1699	289	96
1700	290	97
1701	290	97
1702	290	97
1703	291	97
1704	291	97
1705	292	97
1706	292	97
1707	292	97
1708	293	98
1709	293	98
1710	294	98
1711	294	98
1712	294	98
1713	295	98
1714	295	98
1715	295	98
1716	295	98
1717	296	99
1718	296	99
1719	296	99
1720	297	99
1721	297	99
1722	297	99
1723	297	99
1724	297	99
1725	298	99
1726	298	99
1727	298	99
1728	298	99
1729	298	99
1730	299	100
1731	299	100
1732	299	100
1733	299	100
1734	299	100
1735	299	100
1736	299	100
1737	300	100
1738	300	100
1739	300	100
1740	300	100
1741	300	100
1742	300	100
1743	300	100
1744	300	100
1745	300	100
1746	300	100
1747	300	100
1748	300	100
1749	300	100
1750	300	100
1751	300	100
1752	300	100
1753	300	100
1754	300	100
1755	300	100
1756	300	100
1757	300	100
1758	300	100
1759	300	100
1760	300	100
1761	300	100
1762	300	100
1763	300	100
1764	300	100
1765	300	100
1766	300	100
1767	300	100
1768	300	100
1769	300	100
1770	300	100
1771	300	100
1772	300	100
1773	300	100
1774	300	100
1775	300	100
1776	300	100
1777	300	100
1778	300	100
1779	300	100
1780	300	100
1781	300	100
1782	300	100
1783	300	100
1784	300	100
1785	300	100
1786	300	100
1787	300	100
1788	300	100
1789	300	100
1790	300	100
1791	300	100
1792	300	100
1793	300	100
1794	300	100
1795	300	100
1796	300	100
1797	300	100
1798	300	100
1799	300	100
1800	300	100
1801	300	100
1802	300	100
1803	300	100
1804	300	100
1805	300	100
1806	300	100
1807	300	100
1808	300	100
1809	300	100
1810	300	100
1811	300	100
1812	300	100
1813	300	100
1814	300	100
1815	300	100
1816	300	100
