CYCLE	CMDPOS0
574	0
575	0
576	0
577	0
578	0
579	0
580	0
581	0
582	0
583	0
584	0
585	1
586	1
587	1
588	1
589	1
590	1
591	1
592	1
593	1
594	1
595	2
596	2
597	2
598	2
599	2
600	2
601	2
602	2
603	2
604	2
605	3
606	3
607	3
608	3
609	3
610	3
611	3
612	3
613	3
614	3
615	4
616	4
617	4
618	4
619	4
620	4
621	4
622	4
623	4
624	4
625	5
626	5
627	5
628	5
629	5
630	5
631	5
632	5
633	5
634	5
635	6
636	6
637	6
638	6
639	6
640	6
641	6
642	6
643	6
644	6
645	7
646	7
647	7
648	7
649	7
650	7
651	7
652	7
653	7
654	7
655	8
656	8
657	8
658	8
659	8
660	8
661	8
662	8
663	8
664	8
665	9
666	9
667	9
668	9
669	9
670	9
671	9
672	9
673	9
674	9
675	10
676	10
677	10
678	10
679	10
680	10
681	10
682	10
683	10
684	10
685	11
686	11
687	11
688	11
689	11
690	11
691	11
692	11
693	11
694	11
695	12
696	12
697	12
698	12
699	12
700	12
701	12
702	12
703	12
704	12
705	13
706	13
707	13
708	13
709	13
710	13
711	13
712	13
713	13
714	13
715	14
716	14
717	14
718	14
719	14
720	14
721	14
722	14
723	14
724	14
725	15
726	15
727	15
728	15
729	15
730	15
731	15
732	15
733	15
734	15
735	16
736	16
737	16
738	16
739	16
740	16
741	16
742	16
743	16
744	16
745	17
746	17
747	17
748	17
749	17
750	17
751	17
752	17
753	17
754	17
755	18
756	18
757	18
758	18
759	18
760	18
761	18
762	18
763	18
764	18
765	19
766	19
767	19
768	19
769	19
770	19
771	19
772	19
773	19
774	19
775	20
776	20
777	20
778	20
779	20
780	20
781	20
782	20
783	20
784	20
785	21
786	21
787	21
788	21
789	21
790	21
791	21
792	21
793	21
794	21
795	22
796	22
797	22
798	22
799	22
800	22
801	22
802	22
803	22
804	22
805	23
806	23
807	23
808	23
809	23
810	23
811	23
812	23
813	23
814	23
815	24
816	24
817	24
818	24
819	24
820	24
821	24
822	24
823	24
824	24
825	25
826	25
827	25
828	25
829	25
830	25
831	25
832	25
833	25
834	25
835	26
836	26
837	26
838	26
839	26
840	26
841	26
842	26
843	26
844	26
845	27
846	27
847	27
848	27
849	27
850	27
851	27
