CYCLE	CMDPOS0	CMDPOS1
886	0	0
887	0	0
888	0	0
889	0	0
890	0	0
891	0	0
892	0	0
893	0	0
894	0	-0
895	0	-0
896	0	-0
897	0	-0
898	0	-0
899	0	-0
900	0	-0
901	0	-0
902	0	-0
903	0	-0
904	0	-0
905	1	-0
906	1	-1
907	1	-1
908	1	-1
909	1	-1
910	1	-1
911	1	-1
912	1	-1
913	2	-1
914	2	-1
915	2	-1
916	2	-2
917	2	-2
918	3	-2
919	3	-2
920	3	-2
921	3	-2
922	3	-3
923	4	-3
924	4	-3
925	4	-3
926	4	-3
927	5	-3
928	5	-4
929	5	-4
930	5	-4
931	6	-4
932	6	-5
933	6	-5
934	7	-5
935	7	-5
936	7	-6
937	8	-6
938	8	-6
939	8	-6
940	9	-7
941	9	-7
942	10	-7
943	10	-8
944	10	-8
945	11	-8
946	11	-8
947	12	-9
948	12	-9
949	13	-9
950	13	-10
951	13	-10
952	14	-10
953	14	-11
954	15	-11
955	15	-12
956	16	-12
957	16	-12
958	17	-13
959	17	-13
960	18	-13
961	18	-14
962	19	-14
963	20	-15
964	20	-15
965	21	-16
966	21	-16
967	22	-16
968	23	-17
969	23	-17
970	24	-18
971	24	-18
972	25	-19
973	26	-19
974	26	-20
975	27	-20
976	28	-21
977	28	-21
978	29	-22
979	30	-22
980	30	-23
981	31	-23
982	32	-24
983	32	-24
984	33	-25
985	34	-25
986	35	-26
987	35	-27
988	36	-27
989	37	-28
990	38	-28
991	38	-29
992	39	-29
993	40	-30
994	41	-31
995	42	-31
996	42	-32
997	43	-32
998	44	-33
999	45	-34
1000	46	-34
1001	46	-35
1002	47	-35
1003	48	-36
1004	49	-37
1005	50	-37
1006	50	-38
1007	51	-38
1008	52	-39
1009	53	-40
1010	54	-40
1011	54	-41
1012	55	-41
1013	56	-42
1014	57	-43
1015	58	-43
1016	58	-44
1017	59	-44
1018	60	-45
1019	61	-46
1020	62	-46
1021	62	-47
1022	63	-47
1023	64	-48
1024	65	-49
1025	66	-49
1026	66	-50
1027	67	-50
1028	68	-51
1029	69	-52
1030	70	-52
1031	70	-53
1032	71	-53
1033	72	-54
1034	73	-55
1035	74	-55
1036	74	-56
1037	75	-56
1038	76	-57
1039	77	-58
